,2
TCGA-L5-A4OF-01,11.363839
TCGA-LN-A49R-01,9.090662
TCGA-Z6-A9VB-01,5.903708
TCGA-L5-A8NF-01,17.636683
TCGA-2H-A9GG-01,16.974133
TCGA-IG-A3QL-01,11.691788
TCGA-VR-AA7B-01,6.180308
TCGA-2H-A9GN-01,17.443834
TCGA-L7-A6VZ-01,10.770628
TCGA-L5-A4OF-11,17.452255
TCGA-IG-A4QS-01,12.984053
TCGA-LN-A5U6-01,12.774557
TCGA-LN-A9FP-01,9.62375
TCGA-JY-A939-01,11.857722
TCGA-VR-A8EY-01,1.6104938
TCGA-IG-A6QS-01,12.246865
TCGA-L5-A4OT-01,10.8855505
TCGA-V5-AASX-01,14.696372
TCGA-X8-AAAR-01,11.277483
TCGA-LN-A8I1-01,5.4635224
TCGA-Z6-AAPN-01,17.199987
TCGA-L5-A43H-01,12.7302475
TCGA-L5-A88Y-01,10.103364
TCGA-R6-A6DN-01,13.357477
TCGA-L5-A43C-11,18.944912
TCGA-JY-A93E-01,14.392493
TCGA-JY-A6FH-01,14.895713
TCGA-JY-A6FB-01,10.735378
TCGA-LN-A49Y-01,8.859831
TCGA-L5-A43J-01,13.744488
TCGA-V5-A7RC-06,12.856031
TCGA-LN-A7HY-01,14.806089
TCGA-L5-A88W-01,5.9425497
TCGA-V5-A7RE-01,12.056055
TCGA-Z6-A8JD-01,14.7733755
TCGA-LN-A9FQ-01,5.3392377
TCGA-IG-A4QT-01,17.810637
TCGA-R6-A8W5-01,15.031973
TCGA-LN-A8HZ-01,11.822581
TCGA-LN-A49L-01,11.899019
TCGA-L5-A43M-01,8.76784
TCGA-VR-A8EU-01,11.502852
TCGA-L5-A88V-01,11.000262
TCGA-R6-A8W8-01,14.869212
TCGA-2H-A9GM-01,14.087062
TCGA-LN-A9FR-01,7.267161
TCGA-XP-A8T6-01,12.185554
TCGA-JY-A6FD-01,7.5178847
TCGA-2H-A9GI-01,13.574169
TCGA-R6-A6Y2-01,11.788925
TCGA-JY-A6FE-01,12.938699
TCGA-IG-A51D-01,10.273973
TCGA-LN-A49K-01,12.46944
TCGA-R6-A6KZ-01,13.046624
TCGA-LN-A4A6-01,12.165318
TCGA-VR-A8EX-01,12.725973
TCGA-VR-AA7I-01,11.522118
TCGA-S8-A6BV-01,13.531218
TCGA-JY-A938-01,12.87593
TCGA-Q9-A6FU-01,3.9229007
TCGA-LN-A7HZ-01,11.919951
TCGA-L5-A8NW-01,12.947892
TCGA-IG-A3I8-11,11.233499
TCGA-IG-A5B8-01,14.458292
TCGA-V5-A7RB-01,9.128482
TCGA-LN-A49N-01,12.957099
TCGA-R6-A6Y0-01,15.904778
